customer_id,first_name,last_name,gender,dob,city,state,occupation,account_open_date,account_type,balance,credit_score,loan_status,loan_id,loan_type,loan_amount,interest_rate,tenure_months,start_date,end_date,status_loan,transaction_id,transaction_date,transaction_type,amount,transaction_mode,merchant,status_transaction
1,Anay,Shanker,O,1998-04-12,Delhi,Himachal Pradesh,Engineer,2017-08-28,Salary,187895.52,570,Closed,1171.0,Education,4643446.86,9.93,60.0,2024-09-14,2029-09-14,Defaulted,30211,2024-10-10 18:49:07,Deposit,10357.06,Online,,Success
2,Hiran,Shan,M,1971-06-06,Bangalore,Bihar,Retired,2019-07-24,Savings,366264.98,320,Active,,,,,,,,,34275,2024-04-16 09:52:39,Deposit,21938.08,Online,,Success
3,Dhruv,Rajagopal,O,2000-10-24,Kolkata,Maharashtra,Engineer,2025-01-15,Savings,78853.3,766,Active,,,,,,,,,35782,2025-07-01 08:53:34,Bill Payment,4645.28,Online,PhonePe,Success
4,Divij,Chopra,M,1956-12-04,Hyderabad,Haryana,Student,2016-04-09,Savings,50887.48,758,Closed,,,,,,,,,20202,2024-10-30 06:28:34,Withdrawal,2415.29,UPI,,Success
5,Jhanvi,Chaudhary,O,1989-02-25,Kolkata,Tamil Nadu,Doctor,2016-03-19,Fixed Deposit,433221.9,399,Defaulted,,,,,,,,,39691,2025-05-11 07:27:17,Deposit,2349.2,Branch,,Success
6,Aaina,Choudhary,M,1998-12-27,Bangalore,Manipur,Retired,2025-01-13,Fixed Deposit,72290.54,430,Defaulted,514.0,Business,388324.44,14.14,84.0,2022-07-20,2029-07-20,Closed,35905,2024-04-17 04:31:46,Deposit,12437.16,UPI,,Success
7,Zoya,Virk,F,1994-11-12,Bangalore,Andhra Pradesh,Doctor,2020-06-30,Salary,11271.66,643,Active,,,,,,,,,27557,2024-09-01 19:02:59,Withdrawal,470.11,Online,,Pending
8,Rasha,Kakar,M,2006-05-27,Kolkata,Karnataka,Engineer,2018-06-25,Salary,416388.88,685,Defaulted,651.0,Home,871095.73,7.7,24.0,2023-11-11,2025-11-11,Closed,13034,2025-02-11 06:28:29,Withdrawal,5597.27,Online,,Failed
9,Madhav,Singh,O,1973-09-03,Chennai,Karnataka,Other,2018-05-30,Savings,91730.66,576,No Loan,,,,,,,,,35688,2024-07-17 12:22:18,Bill Payment,3573.28,ATM,Reliance,Success
10,Vaibhav,Bava,O,1961-09-20,Delhi,Kerala,Business,2017-05-05,Savings,309123.27,613,Defaulted,,,,,,,,,383,2025-05-27 21:20:33,Transfer,19250.76,ATM,Electricity Board,Success
11,Zara,Bains,O,1978-03-04,Pune,Telangana,Student,2020-04-06,Current,262853.46,774,Active,,,,,,,,,34069,2024-10-04 08:54:00,Withdrawal,1276.0,Branch,,Success
12,Gatik,Gulati,M,1986-01-11,Hyderabad,Assam,Other,2024-11-20,Salary,306314.59,775,Active,,,,,,,,,25948,2024-06-21 14:34:23,Deposit,45780.77,UPI,,Success
13,Mishti,Ranganathan,M,1992-05-01,Delhi,West Bengal,Business,2020-10-01,Salary,486904.0,489,No Loan,,,,,,,,,42560,2024-03-22 13:19:59,Deposit,4735.4,Online,,Pending
14,Kartik,Sarraf,O,1979-05-17,Pune,Assam,Doctor,2025-08-02,Salary,46212.61,543,Defaulted,,,,,,,,,35545,2024-06-12 17:38:43,Deposit,12760.36,UPI,,Success
