customer_id,first_name,last_name,gender,dob,city,state,occupation,account_open_date,account_type,balance,credit_score,loan_status
1,Anay,Shanker,O,1998-04-12,Delhi,Himachal Pradesh,Engineer,2017-08-28,Salary,187895.52,570,Closed
2,Hiran,Shan,M,1971-06-06,Bangalore,Bihar,Retired,2019-07-24,Savings,366264.98,320,Active
3,Dhruv,Rajagopal,O,2000-10-24,Kolkata,Maharashtra,Engineer,2025-01-15,Savings,78853.3,766,Active
4,Divij,Chopra,M,1956-12-04,Hyderabad,Haryana,Student,2016-04-09,Savings,50887.48,758,Closed
5,Jhanvi,Chaudhary,O,1989-02-25,Kolkata,Tamil Nadu,Doctor,2016-03-19,Fixed Deposit,433221.9,399,Defaulted
6,Aaina,Choudhary,M,1998-12-27,Bangalore,Manipur,Retired,2025-01-13,Fixed Deposit,72290.54,430,Defaulted
7,Zoya,Virk,F,1994-11-12,Bangalore,Andhra Pradesh,Doctor,2020-06-30,Salary,11271.66,643,Active
8,Rasha,Kakar,M,2006-05-27,Kolkata,Karnataka,Engineer,2018-06-25,Salary,416388.88,685,Defaulted
9,Madhav,Singh,O,1973-09-03,Chennai,Karnataka,Other,2018-05-30,Savings,91730.66,576,No Loan
10,Vaibhav,Bava,O,1961-09-20,Delhi,Kerala,Business,2017-05-05,Savings,309123.27,613,Defaulted
11,Zara,Bains,O,1978-03-04,Pune,Telangana,Student,2020-04-06,Current,262853.46,774,Active
12,Gatik,Gulati,M,1986-01-11,Hyderabad,Assam,Other,2024-11-20,Salary,306314.59,775,Active
13,Mishti,Ranganathan,M,1992-05-01,Delhi,West Bengal,Business,2020-10-01,Salary,486904.0,489,No Loan
14,Kartik,Sarraf,O,1979-05-17,Pune,Assam,Doctor,2025-08-02,Salary,46212.61,543,Defaulted
15,Trisha,Dhillon,M,1957-11-18,Chennai,Assam,Retired,2019-08-23,Savings,296614.87,430,Closed
16,Vaibhav,Dewan,O,1970-08-10,Hyderabad,Manipur,Doctor,2017-06-25,Fixed Deposit,430110.26,320,No Loan
17,Ishaan,Goyal,F,1998-01-09,Hyderabad,Kerala,Retired,2021-12-20,Salary,225799.13,573,Active
18,Rati,Sanghvi,M,1969-01-08,Mumbai,Rajasthan,Other,2020-04-21,Salary,474493.88,615,No Loan
19,Hazel,Sethi,F,1959-08-16,Delhi,Haryana,Doctor,2018-09-04,Salary,282080.82,645,Closed
20,Vaibhav,Deshmukh,O,1965-11-19,Ahmedabad,Rajasthan,Business,2023-08-18,Fixed Deposit,49738.38,639,Closed
21,Madhup,Sani,F,2001-08-05,Bangalore,Karnataka,Doctor,2025-03-28,Salary,121271.71,754,No Loan
22,Manikya,Tara,O,2007-01-18,Kolkata,Arunachal Pradesh,Teacher,2016-09-18,Current,305388.33,334,Closed
23,Priyansh,Bali,O,1976-03-25,Ahmedabad,Gujarat,Engineer,2022-08-03,Savings,454750.88,687,Active
24,Lakshit,Sagar,M,1993-05-12,Bangalore,Meghalaya,Other,2021-02-12,Fixed Deposit,156543.83,689,Active
25,Hridaan,Deo,F,1981-09-08,Kolkata,Chhattisgarh,Student,2023-07-28,Fixed Deposit,104762.89,776,Defaulted
26,Heer,Deep,O,1971-07-19,Mumbai,Telangana,Retired,2025-04-25,Savings,484822.73,461,Defaulted
27,Keya,Iyengar,O,1994-07-18,Pune,Kerala,Engineer,2023-01-20,Salary,198179.97,569,No Loan
28,Diya,Koshy,M,1969-09-09,Ahmedabad,Assam,Engineer,2018-02-12,Salary,363908.73,570,Closed
29,Faiyaz,Bose,O,2006-03-13,Delhi,Rajasthan,Other,2016-07-25,Salary,45157.76,551,Closed
30,Kimaya,Balay,M,1965-08-26,Pune,Madhya Pradesh,Other,2022-12-12,Current,23568.42,595,Active
31,Eva,Dass,O,1980-09-25,Pune,Nagaland,Business,2023-09-23,Savings,422422.39,637,Active
32,Pihu,Wali,F,1955-07-19,Chennai,Nagaland,Doctor,2017-09-17,Savings,270306.37,516,Closed
33,Tiya,Rege,O,2005-11-11,Delhi,Karnataka,Engineer,2020-04-20,Fixed Deposit,141186.32,679,Active
34,Adira,Brar,O,1962-05-10,Bangalore,Manipur,Doctor,2020-10-03,Fixed Deposit,138723.59,456,Closed
35,Damini,Singh,F,1954-12-26,Kolkata,Goa,Doctor,2020-03-30,Current,401296.29,364,Defaulted
36,Mishti,Dixit,F,1989-04-24,Pune,Uttarakhand,Business,2017-07-29,Fixed Deposit,8802.57,820,Active
37,Mahika,Chaudhary,M,1998-03-31,Hyderabad,Chhattisgarh,Engineer,2024-05-26,Salary,386350.14,771,Active
38,Hrishita,Sood,O,1980-03-17,Hyderabad,Mizoram,Student,2018-07-06,Current,8025.83,798,Active
39,Ayesha,Andra,M,1954-10-21,Mumbai,Bihar,Doctor,2021-04-12,Savings,353721.81,718,Active
40,Nakul,Balakrishnan,F,1979-06-19,Delhi,Haryana,Student,2020-12-29,Current,385863.9,789,Defaulted
41,Dharmajan,Setty,O,1993-05-16,Ahmedabad,Meghalaya,Doctor,2017-02-07,Current,179874.4,340,No Loan
42,Tiya,Bhatnagar,M,1959-06-23,Ahmedabad,Chhattisgarh,Other,2024-10-29,Fixed Deposit,457564.88,500,Closed
43,Ira,Butala,M,1999-08-30,Delhi,Himachal Pradesh,Retired,2023-11-07,Fixed Deposit,312025.77,332,Defaulted
44,Lakshit,Madan,F,1990-09-03,Kolkata,Tripura,Business,2022-12-18,Savings,32715.62,706,Active
45,Riya,Dugal,M,2004-06-08,Kolkata,Madhya Pradesh,Retired,2019-03-09,Salary,334751.79,398,Active
46,Advika,Yogi,M,2000-06-21,Hyderabad,Mizoram,Doctor,2022-02-12,Fixed Deposit,296057.6,846,Closed
47,Nishith,Chowdhury,F,1985-06-27,Bangalore,Assam,Teacher,2017-10-27,Fixed Deposit,236635.25,761,Closed
48,Khushi,Malhotra,M,1977-10-09,Ahmedabad,Haryana,Other,2016-02-14,Savings,424608.0,304,Active
49,Aarush,Banik,O,1994-10-22,Mumbai,Tamil Nadu,Engineer,2019-07-06,Current,281077.32,697,Closed
50,Manikya,Bandi,F,1997-09-17,Ahmedabad,Arunachal Pradesh,Business,2016-10-06,Current,247404.0,692,No Loan
51,Drishya,Dani,M,1977-04-01,Bangalore,Himachal Pradesh,Business,2016-12-20,Savings,355620.78,760,No Loan
52,Lakshit,Madan,F,2000-04-15,Ahmedabad,Chhattisgarh,Teacher,2024-01-09,Fixed Deposit,101657.88,540,No Loan
53,Kashvi,Khalsa,M,2003-12-28,Hyderabad,Haryana,Teacher,2025-06-24,Current,157863.63,395,Active
54,Kanav,Batta,O,1986-12-13,Mumbai,Bihar,Retired,2022-09-09,Salary,348062.53,784,Active
55,Sumer,Kakar,M,1999-08-11,Ahmedabad,Maharashtra,Student,2023-02-05,Current,125396.82,470,Active
56,Pari,Sachdeva,O,1986-07-18,Delhi,Rajasthan,Other,2016-09-07,Current,102327.55,824,Active
57,Yuvaan,Seth,O,1961-06-18,Delhi,Karnataka,Retired,2016-10-17,Current,39412.98,542,No Loan
58,Kartik,Chandran,M,1962-03-14,Hyderabad,Nagaland,Student,2019-12-30,Savings,81449.42,327,Active
59,Aarna,Chand,F,1985-04-17,Pune,Himachal Pradesh,Teacher,2018-02-24,Current,110001.78,639,Defaulted
60,Dhanuk,Kant,M,1986-03-31,Chennai,Uttar Pradesh,Business,2020-01-06,Current,446386.94,630,Defaulted
61,Badal,Sachdev,F,1992-03-19,Pune,Nagaland,Other,2017-06-06,Savings,162848.17,647,Active
62,Suhana,Vala,F,1955-10-08,Delhi,Haryana,Engineer,2017-05-08,Current,178792.62,489,Defaulted
63,Aradhya,Khosla,M,1966-01-30,Pune,Gujarat,Engineer,2022-09-05,Current,55915.91,676,Defaulted
64,Ivan,Gupta,F,1982-01-20,Bangalore,Andhra Pradesh,Business,2016-10-05,Salary,324197.37,558,Active
65,Vardaniya,Srinivasan,O,1981-05-01,Chennai,Manipur,Retired,2020-04-10,Savings,4469.11,755,Closed
