customer_id,first_name,last_name,full_name,gender,dob,age,city,state,occupation,income,account_type,account_open_date,account_age,balance,credit_score,loan_status
1,Anay,Shanker,Anay Shanker,Others,12-04-1998,27,Delhi,Himachal Pradesh,Engineer,191958,Salary,28-08-2017,8,187895.52,570,Closed
2,Hiran,Shan,Hiran Shan,Male,06-06-1971,54,Bangalore,Bihar,Retired,741155,Savings,24-07-2019,6,366264.98,320,Active
3,Dhruv,Rajagopal,Dhruv Rajagopal,Others,24-10-2000,25,Kolkata,Maharashtra,Engineer,201932,Savings,15-01-2025,0,78853.3,766,Active
4,Divij,Chopra,Divij Chopra,Male,04-12-1956,68,Hyderabad,Haryana,Student,435838,Savings,09-04-2016,9,50887.48,758,Closed
5,Jhanvi,Chaudhary,Jhanvi Chaudhary,Others,25-02-1989,36,Kolkata,Tamil Nadu,Doctor,329178,Fixed Deposit,19-03-2016,9,433221.9,399,Defaulted
6,Aaina,Choudhary,Aaina Choudhary,Male,27-12-1998,26,Bangalore,Manipur,Retired,714167,Fixed Deposit,13-01-2025,0,72290.54,430,Defaulted
7,Zoya,Virk,Zoya Virk,Female,12-11-1994,30,Bangalore,Andhra Pradesh,Doctor,180268,Salary,30-06-2020,5,11271.66,643,Active
8,Rasha,Kakar,Rasha Kakar,Male,27-05-2006,19,Kolkata,Karnataka,Engineer,802180,Salary,25-06-2018,7,416388.88,685,Defaulted
9,Madhav,Singh,Madhav Singh,Others,03-09-1973,52,Chennai,Karnataka,Other,124886,Savings,30-05-2018,7,91730.66,576,No Loan
10,Vaibhav,Bava,Vaibhav Bava,Others,20-09-1961,64,Delhi,Kerala,Business,207337,Savings,05-05-2017,8,309123.27,613,Defaulted
11,Zara,Bains,Zara Bains,Others,04-03-1978,47,Pune,Telangana,Student,591430,Current,06-04-2020,5,262853.46,774,Active
12,Gatik,Gulati,Gatik Gulati,Male,11-01-1986,39,Hyderabad,Assam,Other,157498,Salary,20-11-2024,0,306314.59,775,Active
13,Mishti,Ranganathan,Mishti Ranganathan,Male,01-05-1992,33,Delhi,West Bengal,Business,969159,Salary,01-10-2020,5,486904,489,No Loan
14,Kartik,Sarraf,Kartik Sarraf,Others,17-05-1979,46,Pune,Assam,Doctor,982756,Salary,02-08-2025,0,46212.61,543,Defaulted
15,Trisha,Dhillon,Trisha Dhillon,Male,18-11-1957,67,Chennai,Assam,Retired,245203,Savings,23-08-2019,6,296614.87,430,Closed
16,Vaibhav,Dewan,Vaibhav Dewan,Others,10-08-1970,55,Hyderabad,Manipur,Doctor,261335,Fixed Deposit,25-06-2017,8,430110.26,320,No Loan
